DATE,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,WS_8,WS_9
090101,0,0,0,0,0,0,0,0,0
090102,0,0,0,0,0,0,0,0,0
090103,0,0,0,0,0,0,1.1,0.8,0.8
090104,0,0,0,0,0,0,0,0,0
090105,3,3,2.9,3.2,3.2,3.2,2.5,2.2,2.7
090106,0,0,0,0,0,0,0,0,0
090107,16,15.4,14,15.5,14.8,15.2,16,16.2,17.6
090108,5.3,5.7,5.9,4.7,5.3,5.6,5.4,5.3,5.6
090109,0,0,0,0,0,0,0,0,0
090110,0,0,0,0,0,0,0,0,0
090111,8.6,8.8,8.6,8,8.4,8.9,10,10,10.1
090112,0,0,0,0,0,0,0,0,0
090113,1.1,0.9,0.8,1.3,1.1,1.1,1.4,1.4,1.5
090114,0.8,0.9,1.2,0.8,1,0.9,0.9,0.8,1
090115,0,0,0,0,0,0,0,0,0
090116,0.4,0.3,0.3,0.5,0.3,0.2,0.3,0.3,0.3
090117,0,0,0,0,0,0,0,0,0
090118,9.5,8.9,8.8,10.9,10.4,11.5,13.1,12.8,12.7
090119,4.4,4.5,5.4,4.5,4.7,4.4,5.1,5,5.9
090120,0,0,0,0,0,0,0,0,0
090121,0,0,0,0,0,0,0,0,0
090122,0,0,0,0,0,0,0,0,0
090123,0,0,0,0,0,0,0,0,0
090124,3.1,3.2,3.9,3,3.2,3.1,1.3,0.5,0.3
090125,0,0,0,0,0,0,0,0,0
090126,0,0,0,0,0,0,0,0,0
090127,0,0,0,0,0,0,0,0,0
090128,24.1,23.1,23.1,26.2,26.5,28.5,35.3,35.2,35.8
090129,0.8,0.9,1,0.9,1,1,0.9,0.9,0.8
090130,0,0,0,0,0,0,0,0,0
090131,0,0,0,0,0,0,0,0,0
090201,0,0,0,0,0,0,0,0,0
090202,0,0,0,0,0,0,0,0,0
090203,0.4,0.3,0.3,0.4,0.3,0.3,0,0.1,0
090204,0,0,0,0,0,0,0,0,0
090205,0,0,0,0,0,0,0,0,0
090206,0,0,0,0,0,0,0,0,0
090207,0,0,0,0,0,0,0,0,0
090208,2.4,2.6,2.5,2.3,2.8,3.4,1.5,2,1.3
090209,0,0,0,0,0,0,0,0,0
090210,0,0,0,0,0,0,0,0,0
090211,6.1,5.9,5.7,6.2,6.1,6.3,5.3,5.3,5.7
090212,19.6,19.4,19.4,19.7,20.7,22.5,19.6,19.1,19.2
090213,0.9,0.9,0.9,0.9,0.9,1,1.1,0.9,0.7
090214,0,0,0,0,0,0,0,0,0
090215,0,0,0,0,0,0,0,0,0
090216,0,0,0,0,0,0,0,0,0
090217,0,0,0,0,0,0,0,0,0
090218,6,5.7,5.5,6.8,6.4,6.8,8.7,9.8,11.9
090219,8.7,8.8,9.4,9.4,9.5,9.4,14.1,14.1,14
090220,1.2,1.2,1.3,1.4,1.8,2.8,5,5,5.2
090221,0,0,0,0,0,0,0,0,0
090222,15.5,15.5,16.1,17.1,17.9,20,25.1,25.1,23.2
090223,4.7,4.7,4.9,5.2,5.8,7.1,5.7,6.2,7.1
090224,0.4,0.4,0.4,0.4,0.4,0.5,0.2,0.2,0.3
090225,0,0,0,0,0,0,0,0,0
090226,0,0,0,0,0,0,0,0,0
090227,11.8,11.4,11.3,11.8,11,11.1,14.4,15.1,15
090228,0.9,1,1.1,0.8,1,1,1,1,0.9
090301,0,0,0,0,0,0,0,0,0
090302,5.8,5.8,6.1,5.6,5.7,5.8,4.3,4.7,4.9
090303,0.5,0.5,0.7,0.4,0.4,0.3,0,0,0
090304,0,0,0,0,0,0,0,0,0
090305,0,0,0,0,0,0,0,0,0
090306,1.9,1.8,1.7,2,1.6,1.3,0.9,1.2,1.6
090307,6.8,6.4,6.1,7.2,7.5,9.2,5.5,5.9,7.4
090308,7.5,8,8.8,6.9,6.8,5.5,10.3,9.8,9
090309,11.1,11,11.2,11.2,10.8,10.8,9.6,9.8,11.1
090310,1.3,1.4,1.6,1.3,2.5,4.4,1.5,1.6,1.7
090311,25,24.6,25.2,25.7,24.1,22.8,24,24.3,23.1
090312,0,0,0,0,0,0,0,0,0
090313,0,0,0,0,0,0,0,0,0
090314,0,0,0,0,0,0,0,0,0
090315,0,0,0,0,0,0,0,0,0
090316,0,0,0,0,0,0,0,0,0
090317,0,0,0,0,0,0,0,0,0
090318,2.3,2.1,1.9,2.3,2.9,3,1.9,2,2.3
090319,0.9,0.9,0.9,0.9,1.1,0.9,1.6,1.3,0.9
090320,0,0,0,0,0,0,0,0,0
090321,0,0,0,0,0,0,0,0,0
090322,0.7,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.7
090323,0,0,0,0,0,0,0,0,0
090324,0,0,0,0,0,0,0,0,0
090325,0,0,0,0,0,0,0,0,0
090326,5.5,5.2,4.9,5.9,5.6,6.3,8.1,7.8,8.2
090327,1.4,1.7,2.1,1.1,1.2,0.8,1.1,0.9,0.9
090328,0,0,0,0,0,0,0,0,0
090329,12.1,12.1,12.5,12.2,12,12.3,13.8,13.2,15.8
090330,4.6,4.6,4.6,4.7,4.6,4.7,5.4,5.1,4.4
090331,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
090401,2.7,2.4,2.1,3.2,2.8,2.7,2.1,2.6,3
090402,0.7,0.8,1,0.6,0.8,0.8,1.1,0.9,0.5
090403,10.5,10.5,10.7,11.3,11.9,12.3,14.7,15.4,13.4
090404,4.1,4.1,4.2,4.3,4.6,4.5,5.3,5.5,4.8
090405,0,0,0,0,0,0,0.3,0.2,0.1
