DATE,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,WS_8,WS_9
090101,2.132,2.56,2.224,2.335,1.897,2.754,1.973,1.522,0.98
090102,1.911,2.336,1.994,2.143,1.857,2.167,1.85,1.153,0.812
090103,1.731,2.122,1.73,2,1.806,1.834,1.615,0.999,0.682
090104,1.482,1.846,1.524,1.786,1.67,1.495,1.382,0.86,0.559
090105,1.39,1.768,1.448,1.667,1.571,1.484,1.335,0.95,0.521
090106,1.202,1.61,1.213,1.583,1.454,1.344,1.209,0.885,0.455
090107,1.033,1.457,1.189,1.527,1.41,1.222,1.13,0.803,0.426
090108,1.026,1.476,1.135,1.496,1.371,1.189,1.058,0.719,0.408
090109,0.965,1.336,1.061,1.379,1.271,0.975,0.958,0.664,0.36
090110,0.869,1.174,0.942,1.299,1.22,1.096,0.887,0.621,0.323
090111,0.841,1.144,0.934,1.286,1.178,1.245,0.852,0.612,0.312
090112,0.833,1.093,0.884,1.191,1.131,1.211,0.755,0.58,0.293
090113,0.953,0.986,0.777,1.117,1.109,1.179,0.73,0.515,0.281
090114,0.961,0.967,0.716,1.097,1.084,1.218,0.712,0.464,0.256
090115,0.926,0.955,0.636,1.041,1.018,1.13,0.674,0.42,0.225
090116,0.787,0.888,0.624,1.016,0.961,1.06,0.63,0.392,0.218
090117,0.795,0.841,0.614,0.963,0.913,1.014,0.596,0.345,0.203
090118,0.794,0.824,0.61,0.936,0.907,0.906,0.576,0.304,0.194
090119,0.799,0.84,0.609,0.901,0.899,0.827,0.56,0.296,0.183
090120,0.772,0.809,0.647,0.889,0.859,0.735,0.522,0.289,0.165
090121,0.735,0.744,0.638,0.855,0.826,0.696,0.501,0.289,0.145
090122,0.737,0.748,0.621,0.852,0.807,0.684,0.485,0.289,0.142
090123,0.721,0.721,0.612,0.831,0.812,0.681,0.464,0.277,0.134
090124,0.705,0.708,0.598,0.817,0.789,0.685,0.444,0.279,0.133
090125,0.683,0.639,0.57,0.821,0.744,0.672,0.422,0.276,0.118
090126,0.655,0.667,0.533,0.799,0.735,0.61,0.405,0.277,0.117
090127,0.626,0.696,0.471,0.774,0.73,0.601,0.384,0.275,0.113
090128,0.638,0.707,0.451,0.781,0.71,0.609,0.397,0.275,0.112
090129,0.629,0.787,0.453,0.787,0.713,0.601,0.384,0.273,0.114
090130,0.634,0.748,0.439,0.773,0.662,0.571,0.37,0.269,0.107
090131,0.645,0.758,0.424,0.752,0.687,0.556,0.354,0.262,0.106
090201,0.635,0.745,0.407,0.743,0.653,0.581,0.354,0.268,0.101
090202,0.615,0.67,0.439,0.717,0.663,0.595,0.329,0.262,0.097
090203,0.592,0.632,0.528,0.688,0.669,0.632,0.303,0.251,0.096
090204,0.58,0.656,0.537,0.694,0.658,0.633,0.304,0.252,0.096
090205,0.585,0.637,0.574,0.694,0.643,0.623,0.302,0.249,0.091
090206,0.556,0.606,0.569,0.675,0.618,0.606,0.289,0.249,0.091
090207,0.571,0.586,0.594,0.675,0.613,0.595,0.286,0.251,0.089
090208,0.687,0.828,0.602,0.836,0.625,0.612,0.305,0.261,0.094
090209,0.635,0.731,0.523,0.772,0.628,0.548,0.294,0.247,0.086
090210,0.596,0.659,0.469,0.763,0.623,0.517,0.279,0.244,0.086
090211,1.631,1.856,1.302,2.219,1.788,1.664,0.455,0.356,0.156
090212,7.567,10.028,5.981,9.304,9.412,6.809,2.663,3.804,7.539
090213,4.647,5.691,3.135,4.533,4.261,3.705,1.939,2.859,2.946
090214,3.081,3.121,1.834,2.477,2.284,2.148,1.315,1.43,1.112
090215,3.002,2.301,1.341,1.941,1.827,1.659,1.08,1.057,0.742
090216,2.62,1.861,1.162,1.607,1.594,1.43,0.953,0.886,0.573
090217,2.212,1.575,1.019,1.332,1.384,1.271,0.875,0.767,0.487
090218,1.733,1.356,1.002,1.195,1.253,1.194,0.815,0.715,0.437
090219,1.871,1.344,0.947,1.188,1.215,1.125,0.795,0.67,0.398
090220,1.79,1.254,0.941,1.093,1.135,1.07,0.721,0.609,0.353
090221,1.539,1.093,0.918,0.985,1.023,1.018,0.674,0.56,0.309
090222,1.492,1.063,0.921,0.994,0.99,0.965,0.606,0.531,0.293
090223,1.32,1.07,0.847,0.999,0.942,0.951,0.648,0.518,0.285
090224,1.22,0.969,0.772,0.932,0.907,0.851,0.6,0.497,0.263
090225,1.204,0.937,0.698,0.894,0.863,0.877,0.566,0.481,0.248
090226,1.201,0.953,0.708,0.889,0.876,0.869,0.568,0.476,0.242
090227,2.165,1.969,1.746,2.194,2.182,2.081,1.079,1.197,1.176
090228,5.47,6.136,4.063,4.726,5.001,5.11,4.343,6.227,7.546
090301,2.638,3.054,2.04,2.338,2.303,2.498,2.209,1.783,1.82
090302,1.918,2.171,1.584,1.823,1.806,1.845,1.619,1.45,1.077
090303,1.627,1.725,1.312,1.511,1.503,1.544,1.334,1.125,0.796
090304,1.43,1.468,1.144,1.305,1.281,1.323,1.174,0.992,0.649
090305,1.325,1.291,1.055,1.18,1.184,1.103,1.062,0.924,0.554
090306,1.286,1.269,1.032,1.205,1.176,1.124,1.008,0.876,0.503
090307,1.907,1.908,1.646,1.948,1.844,1.669,1.114,0.878,0.549
090308,9.124,9.134,6.851,7.865,7.322,6.963,3.46,3.512,3.656
090309,5.15,5.608,4.162,4.442,4.011,4.269,2.842,2.728,2.573
090310,3.164,3.37,2.711,2.846,2.715,2.725,2.067,1.903,1.434
090311,4.522,4.695,4.116,4.107,2.978,3.574,2.36,2.297,1.753
090312,4.502,4.908,4.331,3.893,0.862,3.673,2.849,3.255,3.06
090313,2.974,3.264,2.764,2.694,2.226,2.827,2.116,2.003,1.566
090314,2.637,2.704,2.374,2.424,2.335,2.19,1.756,1.603,1.13
090315,3.103,3.062,2.546,2.698,2.742,2.44,1.563,1.372,0.931
090316,3.923,3.855,2.827,3.094,2.971,2.441,1.463,1.23,0.847
090317,5.205,4.96,3.235,3.541,3.313,2.876,1.452,1.164,0.816
090318,6,6.235,3.933,4.245,3.844,3.517,1.563,1.22,0.828
090319,10.746,11.757,7.471,7.803,6.544,6.326,2.152,1.751,1.317
090320,7.231,8.397,5.884,6.157,5.282,5.026,1.993,1.712,1.383
090321,5.47,6.002,4.242,4.821,3.917,3.744,1.741,1.475,1.126
090322,4.478,5.281,3.57,3.968,3.059,3.114,1.602,1.328,0.971
090323,3.899,4.736,2.601,3.095,2.716,2.587,1.44,1.21,0.802
090324,3.715,4.654,2.34,2.906,2.624,2.335,1.283,1.112,0.692
090325,4,4.476,3.008,3.449,3.012,2.736,1.238,1.042,0.649
090326,5.158,6.025,3.827,4.584,3.827,3.402,1.221,0.988,0.615
090327,12.049,14.441,8.507,10.563,8.638,7.937,1.649,1.105,0.815
090328,13.734,16.143,11.68,12.279,10.323,10.592,2.51,1.616,1.529
090329,18.486,21.204,16.275,18.367,14.862,15.634,6.687,4.039,7.336
090330,14.723,18.058,14.227,16.307,13.443,13.967,10.408,11.426,9.213
090331,9.701,12.276,9.752,11.039,9.39,9.203,6.896,6.201,4.771
090401,6.977,9.288,7.039,8.092,6.985,6.624,4.195,3.724,2.637
090402,10.792,14.617,11.449,13.979,12.195,12.016,4.802,3.781,2.477
090403,17.585,21.518,20.939,24.332,23.917,24.004,16.136,17.675,16.481
090404,15.435,18.897,20.748,22.775,22.476,22.642,22.159,22.48,18.825
090405,6.88,8.52,9.307,10.441,10.062,9.862,7.938,7.186,5.352
090406,11.385,11.675,12.216,14.262,16.134,13.636,9.674,10.221,7.691
090407,15.073,16.162,16.155,17.208,15.851,16.781,17.524,16.858,14.826
090408,6.64,7.092,7.107,8.032,7.52,7.377,7.159,6.331,4.918
090409,4.577,4.838,4.962,5.805,6.09,5.396,4.477,3.809,2.668
090410,3.572,3.953,4.536,5.1,6.161,5.369,4.072,3.175,2.175
090411,3.292,3.454,4.085,4.525,5.567,4.989,4.352,3.204,2.37
090412,2.826,2.787,3.319,3.785,4.289,4.076,3.768,2.91,2.182
