DATE,STA_1,STA_6,STA_14,STA_INT,STA_HQ,STA_23,STA_17,STA_24
090101,-17,-21,-21,-18,-17,-20,-23,-26
090102,-11,-12,-11,-11,-13,-13,-14,-17
090103,-8,-11,-11,-8,-7,-10,-13,-15
090104,-9,-8,-9,-9,-7,-8,-9,-9
090105,-3,-4,-4,-2,-2,-5,-6,-7
090106,-6,-8,-9,-6,-6,-9,-10,-10
090107,-6,-7,-6,-6,-6,-6,-7,-7
090108,-7,-9,-9,-7,-7,-9,-10,-9
090109,-12,-14,-16,-12,-11,-16,-17,-17
090110,-11,-13,-15,-11,-9,-16,-16,-16
090111,-8,-9,-9,-8,-8,-9,-10,-10
090112,-9,-10,-12,-9,-10,-12,-12,-12
090113,-9,-9,-9,-9,-11,-10,-9,-10
090114,-12,-14,-14,-12,-12,-15,-15,-14
090115,-16,-18,-17,-17,-17,-22,-22,-22
090116,-18,-19,-21,-18,-21,-22,-22,-23
090117,-16,-17,-18,-16,-17,-19,-20,-19
090118,-11,-12,-12,-11,-11,-12,-13,-12
090119,-6,-7,-8,-6,-6,-9,-9,-7
090120,-8,-10,-12,-8,-7,-13,-14,-12
090121,-11,-13,-16,-11,-11,-16,-16,-16
090122,-7,-8,-9,-7,-8,-8,-11,-9
090123,-5,-5,-6,-5,-4,-6,-6,-6
090124,-10,-12,-11,-10,-9,-11,-12,-12
090125,-14,-15,-16,-14,-14,-17,-18,-18
090126,-13,-13,-16,-13,-13,-16,-17,-17
090127,-10,-11,-13,-11,-12,-14,-15,-14
090128,-8,-9,-9,-9,-9,-9,-10,-9
090129,-7,-7,-9,-7,-7,-9,-11,-9
090130,-7,-8,-9,-8,-9,-9,-10,-9
090131,-12,-12,-13,-12,-10,-13,-14,-14
090201,-10,-9,-9,-11,-11,-10,-11,-12
090202,0,-2,-3,-1,-6,-3,-3,-3
090203,-6,-9,-9,-7,-6,-8,-9,-9
090204,-12,-14,-16,-12,-12,-16,-18,-16
090205,-16,-17,-18,-16,-14,-19,-21,-19
090206,-10,-12,-13,-10,-10,-15,-14,-14
090207,-4,-5,-8,-5,-9,-6,-6,-6
090208,-1,-4,-4,-2,0,-4,-6,-4
090209,-7,-10,-10,-8,-7,-10,-12,-12
090210,-7,-7,-6,-7,-7,-8,-6,-8
090211,4,4,4,4,4,4,3,2
090212,2,0,-1,2,2,-1,-1,1
090213,-6,-8,-9,-6,-5,-9,-9,-8
090214,-7,-8,-9,-7,-6,-9,-12,-9
090215,-6,-8,-8,-5,-4,-8,-9,-8
090216,-6,-6,-8,-7,-3,-8,-9,-7
090217,-7,-7,-8,-5,-5,-9,-10,-8
090218,-6,-8,-8,-5,-7,-8,-8,-7
090219,-3,-6,-5,-2,-2,-3,-6,-4
090220,-9,-12,-11,-9,-7,-11,-12,-11
090221,-7,-9,-10,-6,-5,-10,-11,-9
090222,-5,-7,-7,-4,-4,-6,-7,-6
090223,-8,-11,-11,-8,-6,-10,-12,-11
090224,-9,-11,-12,-8,-7,-12,-12,-12
090225,-5,-8,-9,-5,-7,-9,-9,-8
090226,-2,-4,-5,-1,-2,-6,-4,-5
090227,1,-1,-2,1,-2,-1,0,0
090228,-4,-5,-6,-4,-5,-6,-5,-5
090301,-8,-10,-10,-8,-8,-10,-10,-9
090302,-10,-13,-13,-10,-9,-12,-14,-12
090303,-12,-14,-14,-12,-10,-14,-15,-13
090304,-11,-13,-14,-11,-9,-14,-15,-14
090305,-7,-9,-10,-6,-8,-10,-10,-10
090306,1,-1,-1,1,-2,0,-2,-1
090307,6,3,2,6,4,4,2,4
090308,2,1,0,3,4,1,0,2
090309,-2,-4,-4,-2,-2,-4,-4,-3
090310,-1,-3,-3,-1,-2,-2,-3,-2
090311,0,-2,-2,1,0,-1,-2,-2
090312,-8,-10,-11,-8,-6,-10,-11,-12
090313,-7,-10,-10,-8,-7,-12,-12,-11
090314,-2,-2,-4,-1,-3,-4,-4,-4
090315,4,2,0,4,3,2,1,2
090316,3,1,0,3,2,1,1,2
090317,3,1,1,3,2,1,2,2
090318,2,2,2,2,1,3,3,2
